-T_uw2LeDWU, 70.000, 80.000, "/m/07r660_,/m/09x0r,/m/0ytgt,/t/dd00001"
-YvvpxAbIII, 270.000, 280.000, "/m/04rlf,/m/09x0r,/t/dd00001,/t/dd00125"
-ZapunerJsQ, 140.000, 150.000, "/m/04rlf,/m/09x0r,/t/dd00001"
-hvbMS-_BHE, 10.000, 20.000, "/m/01j3sz,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00001"
-lL0OaeQtEQ, 30.000, 40.000, "/m/07qz6j3,/m/09x0r,/m/0ytgt,/t/dd00001"
-nK-nHIhoiM, 50.000, 60.000, "/m/01j3sz,/m/07sq110,/m/09x0r,/t/dd00001"
-saFMqj-M8I, 30.000, 40.000, "/t/dd00001"
0B_A43gA6fc, 50.000, 60.000, "/t/dd00001"
0CGgu6doSis, 40.000, 50.000, "/m/01j3sz,/m/09x0r,/t/dd00001"
0G6OTYrqB2Y, 30.000, 40.000, "/m/01j3sz,/m/07r660_,/m/07sq110,/t/dd00001"
0OKELwyAi5E, 60.000, 70.000, "/m/01j3sz,/m/04rlf,/m/09x0r,/t/dd00001"
0Ovr9qYvfe8, 440.000, 450.000, "/m/04rlf,/m/09x0r,/t/dd00001"
0Q1T9RuTAnE, 40.000, 50.000, "/m/01j3sz,/m/07r660_,/t/dd00001"
0VeCqFvVUQg, 40.000, 50.000, "/m/01j3sz,/m/02p3nc,/t/dd00001"
0Wk2PvKpMe0, 0.000, 10.000, "/m/09x0r,/t/dd00001"
0Y-weqqGWF8, 0.000, 10.000, "/m/09x0r,/m/0ytgt,/t/dd00001"
0_o3zAgAz-I, 90.000, 100.000, "/m/01j3sz,/m/09x0r,/t/dd00001"
0dIKPNqqxhw, 90.000, 100.000, "/m/01j3sz,/t/dd00001"
0di55Yw-YYE, 60.000, 70.000, "/m/07r660_,/m/09x0r,/m/0ytgt,/t/dd00001"
0eaafXX-pPE, 30.000, 40.000, "/m/01j3sz,/m/09x0r,/t/dd00001"
0gohHMCpQik, 250.000, 260.000, "/m/09x0r,/t/dd00001,/t/dd00125"
0taZldxMK1Q, 60.000, 70.000, "/m/01j3sz,/m/09x0r,/t/dd00001"
